epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3654,1.31395,3.18408,1.50118,0.01211,0.1725,0.00714,0.00338,1.00913,3.09417,1.30589,2e-05,2e-05,2e-05
2,49.6948,1.04239,3.09519,1.30359,0.02544,0.3625,0.02577,0.01291,0.7015,3.00064,1.1055,5.8812e-05,5.8812e-05,5.8812e-05
3,62.5894,1.08402,3.04296,1.26181,0.04982,0.71,0.25034,0.18951,0.64784,2.76411,0.97771,9.604e-05,9.604e-05,9.604e-05
4,75.4282,0.75252,2.67556,1.00418,0.06211,0.885,0.57807,0.4802,0.61739,2.52522,0.90751,0.000131684,0.000131684,0.000131684
5,89.3442,0.81973,2.53341,1.0131,0.06702,0.955,0.71547,0.56618,0.71031,2.44526,0.89812,0.000165744,0.000165744,0.000165744
6,102.111,0.81527,2.33164,1.04623,0.06807,0.97,0.73857,0.57271,0.78479,2.40954,0.9086,0.00019822,0.00019822,0.00019822
7,114.934,0.73938,2.10165,0.99469,0.0686,0.9775,0.75329,0.63891,0.58624,2.352,0.87067,0.000229112,0.000229112,0.000229112
8,127.717,0.804,1.97161,1.06705,0.0693,0.9875,0.81598,0.69298,0.57123,2.3187,0.86361,0.00025842,0.00025842,0.00025842
9,142.131,0.79639,1.78802,1.08555,0.06912,0.985,0.84346,0.69543,0.6176,2.30761,0.86859,0.000286144,0.000286144,0.000286144
10,156.791,0.68862,1.76133,0.99877,0.06912,0.985,0.85004,0.70078,0.6212,2.29032,0.86313,0.000312284,0.000312284,0.000312284
11,171.357,0.6946,1.77162,0.97034,0.06895,0.9825,0.8468,0.7072,0.5938,2.27555,0.85853,0.00033684,0.00033684,0.00033684
12,186.267,0.70031,1.69115,1.00216,0.0686,0.9775,0.8385,0.69891,0.59238,2.25545,0.86201,0.000359812,0.000359812,0.000359812
